Year,AA,ABC,AFBC,ALPICAM,ARNAUD,BA,BBC,BC,BILCOVE,BKB,BMC,BOISCAM,BS,BTC,BTI,CAFECO,CAMES,CAMWA,CANA BOIS,CCT,CFC,CFK,CIC,CUF,DR WOOD,EAW,EEMP,EFH,EFMK,EFMK.1,EKR,ENJC,ESA,ESTNO,EXOWOOD,FB,FEEMAM,FIPCAM,FIPCAM.1,FOTRAB,GAD,GB,GDC,GENINFO,GIS,GRUMCAM,GSE,GTI,GVI,GWZ,HF,HIS HAI EXIM,IB,IBUCO,JDF,JEAB,JM,KIEFFER,KN & CO,LCF,LEF,LES SCIERIES KASA,LFM,LW,MBI,MC ANGYWOOD,MEKOGECAM,MEX,MKC,MLC,MMG,MPACKO JEAN,NAH AND SONG,NAMBOIS,NAS,NATION BOIS,NB,NBR,NEC,NF,OA,PLACAM,PROPALM,PROSOFT,S2TBED,SABM,SALIN,SASBO,SBF,SCABOIS,SCABOYS,SCACI,SCEBT,SCIEB,SCIFO,SCT,SEDB,SEEF,SEFAC,SEFECCAM,SEPFCO,SEX,SF,SFD,SFE,SFID,SFMF,SGE,SIENCAM,SIF,SIFCAM,SIFOC,SIM,SIPSA,SLES,SMK,SNCOCAM,SOBOCA,SOCANEG,SODETR REGENT,SODETRA,SOFIBO,SOFOCAM,SOFONHY,SON HAI EXIM,SONAFI,SSC,SSS,STBois / STBC,STJJY,TB,TBM,TECHNO WOOD,TECHNOBOIS,TFE,TNB,TRC,TTS,TWT AFRICA,TWTA,VF,WOODEN CANA,WS,ZENITH,ZTN,ZZF
2009,,43.68,,,,,,,,,,,,,,,127.4,,,8339.24,,,,,,,,475.0,74.62,,,192.0,,,,,,389.48,,,,,,,,,,,,34438.78,,,,45.5,,,,1070.0,,,,1494.22,,,,,,,,,5377.2,,,,,,,,,,,182.0,,191.1,,,,,,,,,,,,,,371.28000000000003,,,,,,,,116.0,,,,,,,,,,,5.46,,,,,,,,,251.16,,,,,,,,,,,21292.18,355.42,,,,,,,,
2010,,,,,316.68,,,,,,,,,,,9121.84,,,,8504.86,,,,283.98,,,,1811.64,,,,,,1387.58,,,,1832.58,,,190.0,,,,412.84000000000003,391.3,,,,21612.88,,,,,,,74.62,452.0,,,,2584.4,,,,,,,,,4635.54,478.0,,488.0,,,,,,,,,,,,,,,,,230.0,,,,,,,1006.46,,,,,,,,,,,,,,,,,927.0,12.74,,,,,672.0,176.54,,,,,,,,104.0,,,,,,,29635.3,271.76,,,,,,,,
2011,,,2766.0,617.0,,,,,,,,,,,,16390.920000000002,,,,13513.28,,,,2511.2200000000003,,,,1529.8600000000001,,534.0,,,,3421.54,,,,812.1,,,71.0,,4639.18,,2807.34,4982.0,,,,26906.88,,,,,,,425.88,5219.0,,,,,,,,,,,,1288.56,3383.38,1977.0,,,,,,,,,,87.36,,,,,,61.88,56.42,378.56,852.0,,9.1,1565.2,,,,602.34,,,612.0,,,,,1527.0,,,,,,,5014.0,,,9.1,,,,748.02,709.0,536.9,,,,,,,,,,,,,,,19958.12,,,,,,,,,
2012,,,,355.0,,,,492.0,,,,,,,,18729.62,,,165.62,19249.48,,,,3851.36,,,34.58,,1485.0,,,,,3200.6,,,,42.0,,,,,5740.28,,487.0,559.0,,,,28430.22,,,,,240.24,,451.36,895.0,,,,,,,,,,56.42,,1059.24,5460.0,,,642.58,,,,,,,,5.46,,,,,,52.78,,,419.0,,,6013.280000000001,623.0,,,2888.0,543.0,,3964.0,,,,,1255.0,,,,,,,3045.0,,,,,,,,,1781.78,,796.64,,,,,,,,61.88,,,,,4340.7,,,,,,,,,
2013,,,,435.0,,,,,,,,,,,,17720.7,,78.26,,35999.2,,20468.64,,2757.54,,,,,2351.0,191.1,,1289.0,,1569.68,,,3286.8,,1800.0,,,,4877.68,,853.58,,,,,3963.96,,,,,,,271.18,,,,,,,,,,7.0,45.5,,1017.38,34.58,,,559.38,,,,,,,,141.96,,,,,,,196.56,,,,,1576.1200000000001,,,,1363.0,14.56,6996.0,2350.0,,,,,1021.0,,,,,,,5646.0,,,,,1326.0,,,,1357.72,775.32,,,,,198.38,,,,27.3,,,,,1927.38,,,,,987.0,,,,
2014,,,,1162.0,,,,,836.98,,,3725.0,,111.02000000000001,,27692.46,,,,24463.66,,26248.04,,1200.24,,,,,1198.88,,7.28,4642.0,599.38,,,,4434.6,,322.0,,,,294.84000000000003,,225.68,,,,,,,,,,,,,,,,1999.0,,,105.56,,,323.96000000000004,,,2007.46,,,255.0,1013.54,30.94,41.86,,,,,,,,,,105.0,,,413.14,,,,,163.8,,,,1323.48,,26102.8,,582.0,2119.0,,,,,,,,,,4386.0,,,,,641.0,,,,1253.98,161.0,65.52,,,,41.86,352.0,,,,,,,,,,,,,,,,,
2015,807.0,,,2233.0,,,,,,,1097.1,2151.0,,32.76,,26604.760000000002,,1519.0,,20906.98,,21814.760000000002,,387.04,,,,,385.64,,,5645.0,3182.64,,,2641.0,1582.58,,547.82,296.66,,,,,23.66,4087.0,,,,,,,,,,,,,,475.0,,,,,,,573.3000000000001,,,38.22,,,,476.7,,29.12,,34.58,,,,,7361.0,,,,,,251.16,,,,,,,,,1361.92,,37646.4,,5028.0,1591.0,,,426.0,,,3776.0,,,,4532.0,354.90000000000003,,,,782.0,,,,50.96,2311.0,,,,,196.56,,,1573.76,,,,,,,,,,,,,,16.38,
2016,,,,5850.0,,,,,,,174.0,1101.0,,154.70000000000002,,20119.48,,1052.0,,17305.58,36.4,33467.94,,867.52,,,,,693.0,,,3157.0,365.82,,,,5881.52,,1311.0,41.86,,,,,,5334.0,,,,,,,,,,829.0,,,,401.0,,,,,,,123.76,,,,,,,610.0,,,,,,,,,3192.0,,,774.0,739.0,,,,,,,,762.0,,52.78,,3.64,32992.34,,437.0,,,,481.0,,,3141.0,,,,3071.0,45.5,,,,,,,,,513.0,278.38,,,,91.0,,,,,,544.1800000000001,,,,,373.1,,,,,129.22,,
2017,,,,2119.0,,,,,,,106.0,1046.0,,243.88,200.0,13679.12,,,,5926.0,,20885.72,,194.0,,,,,,,,,724.0,,207.48000000000002,74.0,3108.24,,960.0,,,,,,,5332.0,,,,,,,,,,,,,,808.0,,,773.0,,,,,,52.78,,,,,,,,,,,,,,3939.0,,,148.0,984.0,,,,,,,,,,,61.88,,32036.22,,2618.0,,,,,,,7312.0,,,424.06,1367.0,,,50.96,,2032.0,,,,,491.0,,,,,,,,,,,263.90000000000003,,,,,,,384.0,,,132.86,,
2018,,,,296.0,,,,,,,,3303.0,,145.6,492.82,6117.02,,,,12686.16,,10344.880000000001,3499.6800000000003,1373.16,74.62,,,,654.0,,,,3238.86,,1654.38,,739.1800000000001,,,382.2,,,,,,5701.0,167.44,,,,1013.0,,1483.3600000000001,,,,,,422.24,1562.0,,,,,103.74000000000001,,,,225.68,,,,,183.98000000000002,,,70.98,,487.0,78.26,,,4160.0,,,33.0,620.0,771.6800000000001,,,,,,,,58.24,3605.7200000000003,827.0,130.0,35075.82,,5827.0,,,,,45.5,47.32,5811.0,,,,2149.0,,,,,,,,,,320.32,,,,,2819.1800000000003,,,2615.34,,,,,,,,1903.72,,933.0,,27.3,58.24,,
2020,,,,2934.0,,906.36,32.76,,,,,,,751.6600000000001,,,,,,9729.720000000001,,,161.98000000000002,766.22,,,,,739.3199999999999,,,,,,414.96000000000004,,1158.6599999999999,,,828.0,,238.42000000000002,,5470.16,,1539.0,,2085.7200000000003,105.56,,650.0,,,,,,,,,650.0,,,1499.68,,132.86,413.14,,,,,,,,2203.0,,,,,,305.76,80.08,,15954.0,,149.24,,,551.46,,,,345.8,,,,,9564.8,123.0,191.1,23732.9,,,,280.0,1395.0,,,,89.0,249.34,,,1560.0,,,,,,212.94,,,,269.36,1657.34,,,,1823.64,,,,,101.0,937.3000000000001,8207.0,101.92,,,,2098.46,1973.8600000000001,,,,,
2021,,,,3911.88,,47.32,2276.0,,,52.78,,,74.62,1643.92,,,,,,9489.48,,,,121.94,,407.68,,,,,,,,,,,3505.5,,652.0,255.0,,,,3618.0,,29.0,101.92,2051.14,,,1775.94,54.6,364.0,,,,,,664.3000000000001,,,,4011.28,,109.2,593.32,,,,,,,,2236.0,,,,,,549.64,,,11935.6,,149.24,,,531.44,,,,,,,,,9417.44,75.66,,10978.24,,6347.0,,,2845.9,,,,,627.9,1275.0,,842.0,,,,,,,,,,449.54,158.34,54.6,,480.48,509.6,4836.28,,,,,,,36.4,,,,3461.6400000000003,,,1528.8,,,65.52
