Species Name,Scientific Name,Region of Origin,Typical Harvest Age,Conservation Status / Vulnerability,Threatened,CITES Status: https://cites.org/sites/default/files/eng/app/2025/E-Appendices-2025-02-07.pdf,IUCN Status,IUCN Population Trend,Notable Sustainability/Conservation Notes,Primary Uses
Greenheart,Chlorocardium rodiei,"Guyana, Suriname, NE South America",60–100+ years,"Overharvested, near commercial extinction; IUCN Data Deficient  https://www.wood-database.com/greenheart/",TRUE,,Data Deficient,Unknown,https://www.wood-database.com/greenheart/,"Marine construction, heavy construction, industrial flooring"
Washiba,Handroanthus spp.,"Central & South America (Guyana, Brazil)",80–100+ years,Endangered (IUCN Red List); CITES Appendix https://robidecking.com/ipe-and-cumaru-added-to-endangered-species-list/,TRUE,Appendix II,Least Concern,Decreasing,https://robidecking.com/ipe-and-cumaru-added-to-endangered-species-list/,"Decking, flooring, exterior, bridges, furniture"
Ipe,Handroanthus spp.,"Central & South America (Guyana, Brazil)",80–100+ years,Endangered (IUCN Red List); CITES Appendix https://robidecking.com/ipe-and-cumaru-added-to-endangered-species-list/,TRUE,Appendix II,Least Concern,Decreasing,https://robidecking.com/ipe-and-cumaru-added-to-endangered-species-list/,"Decking, flooring, exterior, bridges, furniture"
Pine,Pinus spp.,"N. Hemisphere, plantations worldwide",20–40 years,Not threatened (plantation species)  https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,FALSE,,,,https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,"Construction, furniture, paper"
Purpleheart,Peltogyne spp.,"Amazon Basin: Brazil, Guyana, Suriname",60–100+ years,Some species Vulnerable/Endangered (IUCN); others not listed  https://www.wood-database.com/purpleheart/,TRUE,,Vulnerable,Decreasing,https://www.wood-database.com/purpleheart/,"Decorative, flooring, furniture, turned objects"
Wamaradan,Swartzia leiocalycina,"Guyana, Suriname, Brazil",60–100+ years,Approaching commercial extinction in Guyana https://www.wood-database.com/wamara/,TRUE,,Vulnerable,Unknown,https://www.wood-database.com/wamara/,"Heavy construction, flooring, furniture"
Wamara,Swartzia leiocalycina,"Guyana, Suriname, Brazil",60–100+ years,Approaching commercial extinction in Guyana https://www.wood-database.com/wamara/,TRUE,,Vulnerable,Unknown,https://www.wood-database.com/wamara/,"Heavy construction, flooring, furniture"
Kabukalli,Goupia glabra,"Guyana, Suriname, Brazil, Colombia",60–80+ years,Not listed as threatened  https://www.stabroeknews.com/2012/07/15/features/kabukalli-goupia-glabra/,FALSE,,Least Concern,Stable,https://www.stabroeknews.com/2012/07/15/features/kabukalli-goupia-glabra/,"Construction, decking, furniture, veneer"
Elliottis Pine,Pinus elliottii,SE USA; plantations worldwide,25–40 years,Not threatened https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,FALSE,,Least Concern,Increasing,https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,"Construction, pulp, furniture"
Darina,Dinizia excelsa,"Brazil, Guyana, Guianas",70–100+ years,Not listed as threatened  https://superiorwoodsguyana.com/darina/,FALSE,,Least Concern,Decreasing,https://superiorwoodsguyana.com/darina/,"Construction, joinery, furniture, cabinetry"
Wallaba,Eperua falcata,"Guyana, Suriname, Brazil",60–100+ years,Not listed as threatened  https://woodsdirectinternational.com/wallaba/,FALSE,,Least Concern,Stable,https://www.sandurashingles.com/dev/wp-content/uploads/2018/12/Company-Brochure-Collection-NEW-VERSION.pdf,"Shingles, poles, heavy construction"
azobe_ekki,Lophira alata,West & Central Africa,80–100+ years,Vulnerable (IUCN)  https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Vulnerable,Unspecified,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Marine/heavy construction, durable"
Tatabu,Diplotropis purpurea,South America,60–100+ years,Not listed as threatened,FALSE,,Least Concern,Stable,Not widely threatened,"Heavy construction, flooring"
Bulletwood,Manilkara bidentata,"Caribbean, Central & South America",80–100+ years,Not listed as threatened https://en.wikipedia.org/wiki/Manilkara_bidentata,FALSE,,Least Concern,Stable,https://en.wikipedia.org/wiki/Manilkara_bidentata,"Construction, decking, boat building, furniture"
Cedar,Cedrela odorata,Central & South America,30–60 years,Vulnerable/Endangered (IUCN)  https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,TRUE,Appendix II (populations in the Neotropics only),Vulnerable,Decreasing,https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,"Furniture, paneling, construction"
Shibadan,Aspidosperma spp.,South America,60–100+ years,Not listed as threatened,FALSE,,Least Concern,,Not widely threatened,"Construction, furniture"
Birch,Betula spp.,Northern Hemisphere,40–60 years,Not threatened https://research.fs.usda.gov/treesearch/download/48128.pdf,FALSE,,Least Concern,Stable,https://research.fs.usda.gov/treesearch/download/48128.pdf,"Plywood, furniture, flooring"
Locust,Robinia pseudoacacia,"North America, Europe (introduced)",30–60 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,Least Concern,Increasing,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Fence posts, decking, furniture"
Mora,Mora excelsa,"Guyana, Suriname, Trinidad",80–100+ years,Not threatened https://www.wood-database.com/mora/,FALSE,,Least Concern,Decreasing,https://www.wood-database.com/mora/,"Heavy construction, flooring, boat building"
Tauroniro,Humiria balsamifera,"Guyana, Suriname, Brazil",60–80+ years,Not listed as threatened,FALSE,,Least Concern,Stable,Not widely threatened,"Construction, furniture"
Crabwood,Carapa guianensis,"Guyana, Suriname, Brazil",60–100+ years,Not listed as threatened https://ir.library.oregonstate.edu/downloads/zs25xd44n,FALSE,,Least Concern,Unknown,https://ir.library.oregonstate.edu/downloads/zs25xd44n,"Furniture, construction, medicinal oil"
Garlicwood,Caryocar villosum,"Guyana, Brazil",60–80+ years,Not listed as threatened,FALSE,,Least Concern,Unknown,Not widely threatened,"Heavy construction, furniture"
Alder,Alnus spp.,"N. Hemisphere (N. America, Europe, Asia)",20–70 years,"Not threatened, but habitat loss in some areas",FALSE,,Least Concern,Stable,"Fast-growing, riparian, nitrogen-fixer","Furniture, cabinetry, plywood"
Ash,Fraxinus spp.,"N. America, Europe, Asia",40–80 years,"Critically Endangered (IUCN, due to pests) https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87",TRUE,,Least Concern,Increasing,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Sports equipment, furniture, flooring"
Balau,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",50–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Critically Endangered,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Construction, decking, furniture"
Balsam,Abies balsamea,"N. America (Canada, N. USA)","<55 years (pulp), up to 150+",Not threatened,FALSE,,Least Concern,Stable,"Softwood, pulp, Christmas trees","Pulp, construction, Christmas trees"
Baromalli,Catostemma commune,"C. America, N. South America (Guyana, Brazil)",30–60 years,Not listed as threatened,FALSE,,Least Concern,Stable,"Tropical, used for plywood, panels","Plywood, panels, construction"
Beech,Fagus spp.,"Europe, N. America",80–160 years,Not threatened  https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,Least Concern,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Furniture, flooring, cabinetry"
Burada,Unknown,Unknown,Unknown,Unknown,,,,,No reliable data,Unknown
Cara Euc,Eucalyptus spp.,"S. America, Australia, Africa (plantations)",10–20 years (plantation),Not threatened (plantation),FALSE,,,,"Fast-growing, pulpwood, fuel","Pulpwood, fuel, construction"
Cara Pino,Pinus spp.,S. America (plantations),15–30 years (plantation),Not threatened (plantation),FALSE,,,,"Fast-growing, construction","Construction, pulp"
Cuiabano Pine,Pinus spp.,"Brazil, S. America (plantations)",20–35 years,Not threatened (plantation),FALSE,,,,"Plantation pine, construction","Construction, pulp"
Dakama,Dimorphandra conjugata,"Guyana, Suriname, Brazil",60–100+ years,Not listed as threatened,FALSE,,,,"Tropical hardwood, heavy, durable","Heavy construction, furniture"
Dukali,Eucalyptus spp.,"Australia, S. America, Africa (plantations)",10–20 years (plantation),Not threatened (plantation),FALSE,,,,"Fast-growing, pulp, timber","Pulp, timber, construction"
Eucalyptis Cloezina,Eucalyptus cloeziana,"Australia, plantations elsewhere",20–30 years (plantation),Not threatened (plantation),FALSE,,,,"Durable, used for poles, sleepers","Poles, sleepers, construction"
European Beech,Fagus sylvatica,Europe,120–160 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,Least Concern,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Furniture, flooring, cabinetry"
Fir,Abies spp.,N. Hemisphere (temperate),40–80 years,Not threatened,FALSE,,,,"Softwood, construction, pulp","Construction, pulp, furniture"
Kakaralli,Eschweilera spp.,"S. America (Amazon, Guianas)",60–100+ years,Not listed as threatened,FALSE,,Least Concern,Decreasing,"Tropical, heavy, used for piling, marine work","Piling, marine work, construction"
Lauan,Shorea furfuracea,"SE Asia (Philippines, Malaysia)",40–80 years,Many species endangered/vulnerable https://www.iucnredlist.org/species/pdf/68074543,TRUE,,Vulnerable,Decreasing,https://www.iucnredlist.org/species/pdf/68074543,"Plywood, furniture, construction"
Limonaballi,Humiria balsamifera,"Guyana, Suriname, Brazil",60–80+ years,Not listed as threatened,FALSE,,Least Concern,Stable,"Tropical, durable, construction","Construction, furniture"
Maple,Acer spp.,N. Hemisphere,40–80 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Flooring, furniture, sports equipment"
Meranti,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable; 37 of 59 species critically endangered https://www.rekoforest.org/field-stories/meranti-rawa-symbol-of-hope-and-resilience/,TRUE,,Vulnerable,Decreasing,https://www.rekoforest.org/field-stories/meranti-rawa-symbol-of-hope-and-resilience/,"Plywood, joinery, furniture"
Okoume,Aucoumea klaineana,"W. Africa (Gabon, Congo)",50–70 years,Vulnerable (IUCN)  https://glveneer.com/species/okoume/,TRUE,,Vulnerable,Unspecified,https://glveneer.com/species/okoume/,"Plywood, construction"
Parana Pine,Araucaria angustifolia,"S. Brazil, Paraguay, Argentina",40–60 years,Critically Endangered (IUCN) https://www.bgci.org/news-events/40000-tree-species-now-published-on-the-iucn-red-list/,TRUE,,Critically Endangered,Unknown,https://www.bgci.org/news-events/40000-tree-species-now-published-on-the-iucn-red-list/,"Furniture, construction, joinery"
Paric,Schizolobium parahyba,"S. America (Brazil, Amazon)",20–30 years,Not threatened,FALSE,,Least Concern,Stable,"Fast-growing, plywood, light construction","Plywood, light construction"
Parica,Schizolobium parahyba,"S. America (Brazil, Amazon)",20–30 years,Not threatened,FALSE,,Least Concern,Stable,"Fast-growing, plywood, light construction","Plywood, light construction"
Poplar,Populus spp.,"N. Hemisphere, plantations worldwide",10–30 years (plantation),Not threatened (plantation)  https://www.canr.msu.edu/uploads/396/36452/MANUSCRIPT_2016e.pdf,FALSE,,,,https://www.canr.msu.edu/uploads/396/36452/MANUSCRIPT_2016e.pdf,"Plywood, pulp, furniture"
Radiata Pine,Pinus radiata,"California, Mexico; plantations worldwide",25–30 years,Endangered (native); not threatened in plantations https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,TRUE,,Endangered,Decreasing,https://conservancy.umn.edu/bitstream/handle/11299/213759/NRRI-TR-2020-15.pdf?sequence=1&isAllowed=y,"Construction, pulp, furniture"
Red Balau,Shorea balangeran,"SE Asia (Malaysia, Indonesia, Philippines)",50–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Vulnerable,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Decking, construction, furniture"
Red Meranti,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Near Threatened,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Joinery, plywood, furniture"
Red Oak,Quercus rubra,N. America,60–100 years,Not threatened https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,Least Concern,Stable,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Flooring, furniture, cabinetry"
Rubber Wood,Hevea brasiliensis,"S. America (native), SE Asia (plantations)",20–30 years (plantation),Not threatened (plantation),FALSE,,,,"Plantation, furniture, eco-friendly","Furniture, eco-friendly construction"
Seraya,Shorea spp.,"SE Asia (Malaysia, Indonesia, Philippines)",40–80 years,Many species endangered/vulnerable https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,TRUE,,Near Threatened,Decreasing,https://www.woodworkingnetwork.com/wood/pricing-supply/hit-list-materials-expert-names-10-most-endangered-wood-species,"Joinery, plywood, furniture"
Spruce,Picea spp.,N. Hemisphere,40–80 years,Not threatened https://www.govinfo.gov/content/pkg/GOVPUB-A13-PURL-gpo62512/pdf/GOVPUB-A13-PURL-gpo62512.pdf,FALSE,,Least Concern,Stable,https://www.govinfo.gov/content/pkg/GOVPUB-A13-PURL-gpo62512/pdf/GOVPUB-A13-PURL-gpo62512.pdf,"Construction, pulp, furniture"
Taeda Pine,Pinus taeda,"SE USA, plantations worldwide",25–35 years,Not threatened (plantation) https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,FALSE,,,,https://web.extension.illinois.edu/askextension/thisQuestion.cfm?ThreadID=11137&catID=198&AskSiteID=87,"Construction, pulp, furniture"
Teak,Tectona grandis,"S./SE Asia (native), plantations worldwide",20–80 years (plantation),"Vulnerable (IUCN, wild); not threatened in plantations https://farmfolio.net/blogs/managing-high-yielding-teak-operation",TRUE,,Endangered,Decreasing,https://farmfolio.net/blogs/managing-high-yielding-teak-operation,"Furniture, decking, construction"
Uruguayan Pine,Pinus spp.,Uruguay (plantations),20–30 years,Not threatened (plantation),FALSE,,,,"Plantation pine, construction","Construction, pulp"
Virola,Virola spp.,"S. America (Amazon, Guianas)",30–60 years,Not listed as threatened,FALSE,,Least Concern,,"Tropical, plywood, light construction","Plywood, light construction"
Western Red Cedar,Thuja plicata,Western North America,40–80 years,Not threatened https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,FALSE,,Least Concern,Stable,https://marketing.avofenceandsupply.com/blog/optimizing-the-harvest-of-eastern-white-cedar,"Outdoor construction, siding, decking"
Yarula,Unknown,Unknown,Unknown,Unknown,,,,,Unknown,Unknown