Exporter,2021,2020,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
AA,,,,,,807,,,,,,
AFBC,,,,,,,,,,2766,,
ALPICAM,3850,2934,296,2119,5850,2233,1162,435,355,617,,
BILCOVE,,,,,,,766,,,,,
BBC,2276,,,,,,,,,,,
BC,,,,,,,,,492,,,
BMC,,,,106,174,997,,,,,,
BOISCAM,,,3303,1046,1101,2151,3725,,,,,
BTC,814,,,,,,,,,,,
BTI,,,36,200,,,,,,,,
CAFECO,,,,,620,,478,185,,,,
CAMWA,,,,,1052,1519,,,,,,
WOODEN CANA,,,,,,,,987,,,,
CCT,,,1697,5926,4713,907,3328,11775,2571,1130,,
CIC,,,2000,,,,,,,,,
CFK,,,,2420,2315,579,,81,,,,
CUF,,,121,194,620,165,687,579,670,562,31,
EFMK,,601,654,,693,382,1137,2351,1485,,,
EFH,,,,,,,,,,1124,1626,475
EFMK,,,,,,,,,,534,,
ENJC,,,,,3157,5645,4642,1289,,,,192
ESA,,,2469,724,,2360,492,,,,,
ESTNO,,,,,,,,889,2509,3336,1262,
FB,,,,74,,2641,,,,,,
FIPCAM,,,,,,,,,42,803,1707,
FEEMAM,2914,498,650,1776,5088,1184,3561,2759,,,,
FIPCAM,652,,,960,1311,,322,1800,,,,
FOTRAB,255,828,,,,,,,,,,
GAD,,,,,,,,,,71,190,
GDC,,,,,,,,739,,,,
GIS,,,,,,,,,487,2012,118,
GENINFO,3618,5401,,,,,,,,,,
GRUMCAM,29,1539,5701,5332,5334,4087,,,559,4982,,
GWZ,,,,,,,,,,,2532,5994
HF,653,650,1013,,,,,,,,,
IB,,,1305,,,,,,,,,
JEAB,,,,,829,,,,,,,
LEF,,,,,,,1999,,,,,
LCF,,650,1562,808,401,475,,,,,,
LFM,,,,773,,,,,,,,
KIEFFER,,,,,,,,,895,5219,452,1070
MEKOGECAM,,,,,,,,7,,,,
MMG,,,,,,,,,,,,81
MPACKO JEAN,,,,,,,,,,1977,478,
NAMBOIS,2236,2203,113,,610,413,837,452,608,,488,
NAH AND SONG,,,,,,,255,,,,,
NEC,,,487,,,,,,,,,
PROPALM,11699,15954,4160,3939,3192,7361,,,,,,
SABM,,,33,148,774,,105,,,,,
SALIN,,,620,984,739,,,,,,,
SCABOYS,,,,,,,,,419,852,230,
SCIFO,,,,,762,,,,623,,,
SEDB,9068,9219,2521,,,,,,,,,
SEEF,52,123,827,,,1351,1298,1363,2888,444,,
SEFAC,,,130,,,,,,543,,,
SEX,6347,,5827,2618,437,5028,582,,,,,
SEFECCAM,,1993,12688,10158,15453,16498,7284,6996,,,,
SEPFCO,,,,,,,,2350,3964,612,,
SF,,,,,,1591,2119,,,,,
SFID,,,,,481,426,,1021,1255,1527,,116
SFD,,280,,,,,,,,,,
SFE,2127,1395,,,,,,,,,,
SIENCAM,,89,5811,7312,3141,3776,,,,,,
SIFCAM,1275,,,,,,,,,,,
SIM,842,1560,2149,1367,3071,4532,4386,5646,3045,5014,,
SLES,,,,,,,,,,,927,
SODETRA,,,,,,,,,,709,672,
SOBOCA,,,,2032,,782,641,1326,,,,
SOFOCAM,,,,491,513,2311,161,,,,,
SOFONHY,,1499,,,262,,,,611,,,
STJJY,,,,,,,,,,,104,
STBois / STBC,4647,,,,,,352,,,,,
TB,,,,,,267,,,,,,
TECHNO WOOD,,101,,,,,,,,,,
TRC,,,,,,,,,,,33,
TFE,,8207,,,,,,,,,,
TTS,,,,,,,,,,,148,208
VF,,1750,933,384,,,,,,,,