Year,AA,AFBC,ALPICAM,BILCOVE,BBC,BC,BMC,BOISCAM,BTC,BTI,CAFECO,CAMWA,WOODEN CANA,CCT,CIC,CFK,CUF,EFMK,EFH,EFMK,ENJC,ESA,ESTNO,FB,FIPCAM,FEEMAM,FIPCAM,FOTRAB,GAD,GDC,GIS,GENINFO,GRUMCAM,GWZ,HF,IB,JEAB,LEF,LCF,LFM,KIEFFER,MEKOGECAM,MMG,MPACKO JEAN,NAMBOIS,NAH AND SONG,NEC,PROPALM,SABM,SALIN,SCABOYS,SCIFO,SEDB,SEEF,SEFAC,SEX,SEFECCAM,SEPFCO,SF,SFID,SFD,SFE,SIENCAM,SIFCAM,SIM,SLES,SODETRA,SOBOCA,SOFOCAM,SOFONHY,STJJY,STBois / STBC,TB,TECHNO WOOD,TRC,TFE,TTS,VF
2009,,,,,,,,,,,,,,,,,,,475,,192,,,,,,,,,,,,,5994,,,,,,,1070,,81,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,208,
2010,,,,,,,,,,,,,,,,,31,,1626,,,,1262,,1707,,,,190,,118,,,2532,,,,,,,452,,,478,488,,,,,,230,,,,,,,,,,,,,,,927,672,,,,104,,,,33,,148,
2011,,2766,617,,,,,,,,,,,1130,,,562,,1124,534,,,3336,,803,,,,71,,2012,,4982,,,,,,,,5219,,,1977,,,,,,,852,,,444,,,,612,,1527,,,,,5014,,709,,,,,,,,,,,
2012,,,355,,,492,,,,,,,,2571,,,670,1485,,,,,2509,,42,,,,,,487,,559,,,,,,,,895,,,,608,,,,,,419,623,,2888,543,,,3964,,1255,,,,,3045,,,,,611,,,,,,,,
2013,,,435,,,,,,,,185,,987,11775,,81,579,2351,,,1289,,889,,,2759,1800,,,739,,,,,,,,,,,,7,,,452,,,,,,,,,1363,,,6996,2350,,1021,,,,,5646,,,1326,,,,,,,,,,
2014,,,1162,766,,,,3725,,,478,,,3328,,,687,1137,,,4642,492,,,,3561,322,,,,,,,,,,,1999,,,,,,,837,255,,,105,,,,,1298,,582,7284,,2119,,,,,,4386,,,641,161,,,352,,,,,,
2015,807,,2233,,,,997,2151,,,,1519,,907,,579,165,382,,,5645,2360,,2641,,1184,,,,,,,4087,,,,,,475,,,,,,413,,,7361,,,,,,1351,,5028,16498,,1591,426,,,3776,,4532,,,782,2311,,,,267,,,,,
2016,,,5850,,,,174,1101,,,620,1052,,4713,,2315,620,693,,,3157,,,,,5088,1311,,,,,,5334,,,,829,,401,,,,,,610,,,3192,774,739,,762,,,,437,15453,,,481,,,3141,,3071,,,,513,262,,,,,,,,
2017,,,2119,,,,106,1046,,200,,,,5926,,2420,194,,,,,724,,74,,1776,960,,,,,,5332,,,,,,808,773,,,,,,,,3939,148,984,,,,,,2618,10158,,,,,,7312,,1367,,,2032,491,,,,,,,,,384
2018,,,296,,,,,3303,,36,,,,1697,2000,,121,654,,,,2469,,,,650,,,,,,,5701,,1013,1305,,,1562,,,,,,113,,487,4160,33,620,,,2521,827,130,5827,12688,,,,,,5811,,2149,,,,,,,,,,,,,933
2020,,,2934,,,,,,,,,,,,,,,601,,,,,,,,498,,828,,,,5401,1539,,650,,,,650,,,,,,2203,,,15954,,,,,9219,123,,,1993,,,,280,1395,89,,1560,,,,,1499,,,,101,,8207,,1750
2021,,,3850,,2276,,,,814,,,,,,,,,,,,,,,,,2914,652,255,,,,3618,29,,653,,,,,,,,,,2236,,,11699,,,,,9068,52,,6347,,,,,,2127,,1275,842,,,,,,,4647,,,,,,