Value,Pixel count,Area (deg2)
0,30499,0.001906196478
3,555,3.47E-05
4,1905,0.0001190630608
5,9085,0.0005678151745
6,4214,0.0002633762405
7,5953,0.0003720642525
8,3666,0.0002291260792
9,4033,0.0002520636872
10,5616,0.0003510016532
11,8881,0.0005550651144
12,10107,0.0006316904753
13,8865,0.0005540651097
14,8970,0.0005606276406
15,12641,0.0007900662213
16,13844,0.0008652540754
17,20260,0.001266255964
18,21987,0.001374193973
19,25637,0.001602320047
20,33129,0.002070572253
21,44257,0.002766075528
22,58176,0.003636017126
23,95578,0.005973653136
24,154603,0.009662733012
25,196797,0.01229987043
26,251314,0.01570719898
27,385688,0.02410561354
28,478107,0.02988182825
29,513198,0.03207502608
30,718717,0.04492002408
31,812120,0.05075773907
32,1010002,0.06312542233
33,736116,0.0460074667
34,130366,0.008147913377
35,9067,0.0005666901692
36,191,1.19E-05
37,4,2.50E-07